!improving&cutNode Diff #1010: Total 255054/244710 Hits 223783/214400 Diff Rate (%) -0.125549
capture&cutNode Diff #1110: Total 140305/137816 Hits 124833/122283 Diff Rate (%) -0.24342
givesCheck&cutNode Diff #1110: Total 183944/182266 Hits 150266/148443 Diff Rate (%) -0.248111
!PV&!improving&capture Diff #1010: Total 98718/97283 Hits 91598/89870 Diff Rate (%) -0.407573
priorCapture&cutNode Diff #1110: Total 171040/167137 Hits 140857/136918 Diff Rate (%) -0.433628
!PV&givesCheck&capture Diff #1110: Total 21103/20682 Hits 19096/18614 Diff Rate (%) -0.488537
!PV&ttCapture&ss->inCheck Diff #1110: Total 6818/6423 Hits 6079/5692 Diff Rate (%) -0.542019
!PV&priorCapture&givesCheck Diff #1110: Total 44666/44745 Hits 37588/37399 Diff Rate (%) -0.570972
!PV&!(ss+1)->cutoffCnt>2&capture Diff #1010: Total 171418/168216 Hits 157076/153159 Diff Rate (%) -0.584309
!PV&priorCapture&capture Diff #1110: Total 75588/74773 Hits 69379/68162 Diff Rate (%) -0.62716
!PV&!ss->inCheck&capture Diff #1010: Total 194619/190377 Hits 174483/169431 Diff Rate (%) -0.65601
!PV&ttCapture&capture Diff #1110: Total 32919/32038 Hits 28934/27946 Diff Rate (%) -0.666862
!PV&capture Diff #1150: Total 202188/197776 Hits 181633/176333 Diff Rate (%) -0.675783
!(ss+1)->cutoffCnt>2&cutNode Diff #1010: Total 1005074/975154 Hits 851822/819839 Diff Rate (%) -0.679395
!PV&!ttCapture&capture Diff #1010: Total 169269/165738 Hits 152699/148387 Diff Rate (%) -0.679781
ss->inCheck&cutNode Diff #1110: Total 67312/63315 Hits 58833/54904 Diff Rate (%) -0.687807
!PV&!givesCheck&capture Diff #1010: Total 181085/177094 Hits 162537/157719 Diff Rate (%) -0.697814
!PV&givesCheck&improving Diff #1110: Total 188974/187724 Hits 153056/150706 Diff Rate (%) -0.712528
!PV&!priorCapture&capture Diff #1010: Total 126600/123003 Hits 112254/108171 Diff Rate (%) -0.726489
!PV&!(ss+1)->cutoffCnt>2&givesCheck Diff #1010: Total 207122/205019 Hits 175217/171902 Diff Rate (%) -0.749172
!PV&ttCapture&(ss+1)->cutoffCnt>2 Diff #1110: Total 43446/41724 Hits 34538/32856 Diff Rate (%) -0.750341
!ttCapture&cutNode Diff #1010: Total 1273539/1239263 Hits 1031083/993798 Diff Rate (%) -0.769365
!ss->inCheck&cutNode Diff #1010: Total 1324922/1289938 Hits 1072817/1034555 Diff Rate (%) -0.770171
!PV&!ttCapture&givesCheck Diff #1010: Total 234042/232240 Hits 192502/189225 Diff Rate (%) -0.772837
!PV&(ss+1)->cutoffCnt>2&givesCheck Diff #1110: Total 46252/46471 Hits 34038/33840 Diff Rate (%) -0.772885
cutNode Diff #1150: Total 1392234/1353253 Hits 1131650/1089459 Diff Rate (%) -0.776356
!PV&!ss->inCheck&givesCheck Diff #1010: Total 252713/250834 Hits 208656/205153 Diff Rate (%) -0.778035
!PV&givesCheck Diff #1150: Total 253374/251490 Hits 209255/205742 Diff Rate (%) -0.778183
!PV&givesCheck&!capture Diff #1100: Total 232271/230808 Hits 190159/187128 Diff Rate (%) -0.794275
ttCapture&cutNode Diff #1110: Total 118695/113990 Hits 100567/95661 Diff Rate (%) -0.806723
!priorCapture&cutNode Diff #1010: Total 1221194/1186116 Hits 990793/952541 Diff Rate (%) -0.825562
!PV&!priorCapture&givesCheck Diff #1010: Total 208708/206745 Hits 171667/168343 Diff Rate (%) -0.82681
!PV&ss->inCheck&givesCheck Diff #1110: Total 661/656 Hits 599/589 Diff Rate (%) -0.833687
!capture&cutNode Diff #1010: Total 1251929/1215437 Hits 1006817/967176 Diff Rate (%) -0.846912
!PV&ttCapture&!improving Diff #1100: Total 48194/46003 Hits 41820/39526 Diff Rate (%) -0.853804
!PV&ttCapture&givesCheck Diff #1110: Total 19332/19250 Hits 16753/16517 Diff Rate (%) -0.856827
!givesCheck&cutNode Diff #1010: Total 1208290/1170987 Hits 981384/941016 Diff Rate (%) -0.859973
